CpdClass1	CpdClass2	ChemSim_median	ChemSim_median_absolute_deviation
GF-I-1	GF-I-1	0.5833333333333334	0.06652692307692316
GF-I-1	GF-I-2	0.39316239316239315	0.034847435897435934
GF-I-1	GF-THPI	0.36363636363636365	0.021393939393939437
GF-I-1	QD-C-R	0.14666666666666667	0.019768000000000004
GF-I-1	QD-C-S	0.14473684210526316	0.019507894736842123
GF-I-1	QD-I	0.1360544217687075	0.018672200772200765
GF-I-1	QN-C-R	0.1495052566481138	0.019274477696216822
GF-I-1	QN-C-S	0.1464968152866242	0.020019821656050967
GF-I-1	QN-I	0.1360544217687075	0.017633974693325623
GF-I-1	SM-C-R	0.16083916083916083	0.013897306948370781
GF-I-1	SM-C-S	0.1619718309859155	0.013631103286384966
GF-I-1	SM-I-closed	0.17689691261119833	0.021740253018976415
GF-I-1	SM-I-opened	0.17293233082706766	0.02654945761349943
GF-I-1	_Ref	0.09923664122137404	0.02308829316426927
GF-I-2	GF-I-2	0.6105263157894737	0.06729174872665529
GF-I-2	GF-THPI	0.373015873015873	0.02285261707988977
GF-I-2	QD-C-R	0.14965986394557823	0.018792963885429642
GF-I-2	QD-C-S	0.14743589743589744	0.01772007444168733
GF-I-2	QD-I	0.16312056737588654	0.021456066705002882
GF-I-2	QN-C-R	0.152317880794702	0.019668355338085797
GF-I-2	QN-C-S	0.14965986394557823	0.018391596638655444
GF-I-2	QN-I	0.1619718309859155	0.01966953047938449
GF-I-2	SM-C-R	0.16216216216216217	0.01318100995732574
GF-I-2	SM-C-S	0.16326530612244897	0.014797288842544287
GF-I-2	SM-I-closed	0.18382352941176472	0.022162624656742326
GF-I-2	SM-I-opened	0.16666666666666666	0.024521374045801538
GF-I-2	_Ref	0.10077519379844961	0.022986046511627906
GF-THPI	GF-THPI	0.6886792452830188	0.06620415094339621
GF-THPI	QD-C-R	0.12727272727272726	0.01797090909090906
GF-THPI	QD-C-S	0.12352941176470589	0.01646186564566655
GF-THPI	QD-I	0.13071895424836602	0.01774517156862747
GF-THPI	QN-C-R	0.12804878048780488	0.01557535997649133
GF-THPI	QN-C-S	0.12727272727272726	0.01797090909090906
GF-THPI	QN-I	0.13182720953326713	0.01715967908186994
GF-THPI	SM-C-R	0.14102564102564102	0.00821622828784117
GF-THPI	SM-C-S	0.14102564102564102	0.009503846153846161
GF-THPI	SM-I-closed	0.16891891891891891	0.01585058159425246
GF-THPI	SM-I-opened	0.14743589743589744	0.01958175012906557
GF-THPI	_Ref	0.09523809523809523	0.023455408388520962
QD-C-R	QD-C-R	0.7064220183486238	0.05464389309932184
QD-C-R	QD-C-S	0.7090909090909091	0.06065181818181816
QD-C-R	QD-I	0.38461538461538464	0.012862348178137714
QD-C-R	QN-C-R	0.7027027027027027	0.04912963572267923
QD-C-R	QN-C-S	0.7079646017699115	0.05885766272434039
QD-C-R	QN-I	0.3828125	0.014077572115384606
QD-C-R	SM-C-R	0.18064516129032257	0.01881148387096775
QD-C-R	SM-C-S	0.18126827485380115	0.01867123586451066
QD-C-R	SM-I-closed	0.13141447368421053	0.017316981132075464
QD-C-R	SM-I-opened	0.13737745098039217	0.02528518817432673
QD-C-R	_Ref	0.10218978102189781	0.021711432481751825
QD-C-S	QD-C-S	0.7129629629629629	0.06863888888888903
QD-C-S	QD-I	0.3787878787878788	0.015369856459330169
QD-C-S	QN-C-R	0.7	0.05368034482758607
QD-C-S	QN-C-S	0.7085277554304104	0.06408866003719202
QD-C-S	QN-I	0.3787878787878788	0.015369856459330169
QD-C-S	SM-C-R	0.1794871794871795	0.018630056036678565
QD-C-S	SM-C-S	0.18120805369127516	0.01847031040268453
QD-C-S	SM-I-closed	0.12962962962962962	0.015563977353149332
QD-C-S	SM-I-opened	0.1337579617834395	0.023344336748823035
QD-C-S	_Ref	0.10294117647058823	0.02180294117647058
QD-I	QD-I	0.6831683168316832	0.08094534653465356
QD-I	QN-C-R	0.3816793893129771	0.013262762404580115
QD-I	QN-C-S	0.3805970149253731	0.013914043419267276
QD-I	QN-I	0.6682389937106918	0.07623019749603253
QD-I	SM-C-R	0.12101910828025478	0.012765958952583143
QD-I	SM-C-S	0.11949685534591195	0.014558295800365183
QD-I	SM-I-closed	0.1390728476821192	0.020864403973509915
QD-I	SM-I-opened	0.1506849315068493	0.03019715212689259
QD-I	_Ref	0.10526315789473684	0.02553702857142857
QN-C-R	QN-C-R	0.6956521739130435	0.04191875000000001
QN-C-R	QN-C-S	0.6964285714285714	0.04801398305084742
QN-C-R	QN-I	0.3816793893129771	0.013961074274252016
QN-C-R	SM-C-R	0.17834394904458598	0.01731273885350318
QN-C-R	SM-C-S	0.17880794701986755	0.017882236842105277
QN-C-R	SM-I-closed	0.1320754716981132	0.017188588315526252
QN-C-R	SM-I-opened	0.13636363636363635	0.02274979733642152
QN-C-R	_Ref	0.10344827586206896	0.022554766734279908
QN-C-S	QN-C-S	0.7064220183486238	0.05810608401738291
QN-C-S	QN-I	0.3795620437956204	0.014456733715941385
QN-C-S	SM-C-R	0.17834394904458598	0.016602947421006625
QN-C-S	SM-C-S	0.17880794701986755	0.015915024022854166
QN-C-S	SM-I-closed	0.13141447368421053	0.016547756912058623
QN-C-S	SM-I-opened	0.13548387096774195	0.022924296612254935
QN-C-S	_Ref	0.1032258064516129	0.022528471986417647
QN-I	QN-I	0.6601941747572816	0.0643029489157065
QN-I	SM-C-R	0.12258064516129032	0.014945564516129018
QN-I	SM-C-S	0.1217082467082467	0.016781010206010204
QN-I	SM-I-closed	0.14	0.02223900000000002
QN-I	SM-I-opened	0.1535897435897436	0.030723342657342657
QN-I	_Ref	0.10526315789473684	0.02559435789473684
SM-C-R	SM-C-R	0.6990291262135923	0.09826227461858521
SM-C-R	SM-C-S	0.7029702970297029	0.07283145468392985
SM-C-R	SM-I-closed	0.26449579831932774	0.016342560690492672
SM-C-R	SM-I-opened	0.36885245901639346	0.01966129548180728
SM-C-R	_Ref	0.1079136690647482	0.025210987573577488
SM-C-S	SM-C-S	0.6990291262135923	0.0641060154138725
SM-C-S	SM-I-closed	0.2642857142857143	0.013063576642335742
SM-C-S	SM-I-opened	0.36666666666666664	0.020013057851239722
SM-C-S	_Ref	0.10687022900763359	0.024340499843145447
SM-I-closed	SM-I-closed	0.5981308411214953	0.08313644859813085
SM-I-closed	SM-I-opened	0.3294683606759591	0.03044020846182303
SM-I-closed	_Ref	0.09701492537313433	0.019380770465719763
SM-I-opened	SM-I-opened	0.6029510718062097	0.08936989557928877
SM-I-opened	_Ref	0.10144927536231885	0.020660535117056854
_Ref	_Ref	0.11070261437908496	0.03235124497991968
