CpdClass1	CpdClass2	BioSim
C-I_2	QN-C-S	0.463
C-I_2	QN-C-S	0.338
C-I_2	QN-C-S	0.586
C-I_2	QN-C-S	0.318
C-I_2	QN-C-S	0.542
C-I_2	QN-C-S	0.41
C-I_2	QN-C-S	0.591
C-I_2	QN-C-S	0.443
C-I_2	QN-C-S	0.718
C-I_2	QN-C-S	0.53
C-I_2	QN-C-S	0.732
C-I_2	QN-C-S	0.518
C-I_2	QN-C-S	0.192
C-I_2	QN-C-S	0.0
C-I_2	QN-C-S	0.299
C-I_2	QN-C-S	0.159
C-I_2	QN-C-S	0.37
C-I_2	QN-C-S	0.132
C-I_2	QN-C-S	0.495
C-I_2	QN-C-S	0.257
C-I_2	QN-C-S	0.619
C-I_2	QN-C-S	0.285
C-I_2	QN-C-S	0.537
C-I_2	QN-C-S	0.373
C-I_2	QN-C-S	0.5
C-I_2	QN-C-S	0.336
C-I_2	QN-C-S	0.649
C-I_2	QN-C-S	0.377
C-I_2	QN-C-S	0.55
C-I_2	QN-C-S	0.43
C-I_2	QN-C-S	0.44
C-I_2	QN-C-S	0.301
C-I_2	QN-C-S	0.619
C-I_2	QN-C-S	0.317
C-I_2	QN-C-S	0.499
C-I_2	QN-C-S	0.429
C-I_2	QN-C-S	0.485
C-I_2	QN-C-S	0.3
C-I_2	QN-C-S	0.513
C-I_2	QN-C-S	0.294
C-I_2	QN-C-S	0.475
C-I_2	QN-C-S	0.372
C-I_2	QN-C-S	0.651
C-I_2	QN-C-S	0.477
C-I_2	QN-C-S	0.602
C-I_2	QN-C-S	0.517
C-I_2	QN-C-S	0.627
C-I_2	QN-C-S	0.462
C-I_2	QN-C-R	0.526
C-I_2	QN-C-R	0.481
C-I_2	QN-C-R	0.478
C-I_2	QN-C-R	0.48
C-I_2	QN-C-R	0.522
C-I_2	QN-C-R	0.568
C-I_2	QN-C-R	0.499
C-I_2	QN-C-R	0.521
C-I_2	QN-C-R	0.183
C-I_2	QN-C-R	0.148
C-I_2	QN-C-R	0.495
C-I_2	QN-C-R	0.288
C-I_2	QN-C-R	0.306
C-I_2	QN-C-R	0.43
C-I_2	QN-C-R	0.485
C-I_2	QN-C-R	0.671
C-I_2	QN-C-R	0.543
C-I_2	QN-C-R	0.489
C-I_2	QN-C-R	0.577
C-I_2	QN-C-R	0.555
C-I_2	QN-C-R	0.637
C-I_2	QN-C-R	0.57
C-I_2	QN-C-R	0.6
C-I_2	QN-C-R	0.321
C-I_2	QN-C-R	0.224
C-I_2	QN-C-R	0.59
C-I_2	QN-C-R	0.351
C-I_2	QN-C-R	0.468
C-I_2	QN-C-R	0.497
C-I_2	QN-C-R	0.677
C-I_2	QN-C-R	0.236
C-I_2	QN-C-R	0.177
C-I_2	QN-C-R	0.169
C-I_2	QN-C-R	0.197
C-I_2	QN-C-R	0.276
C-I_2	QN-C-R	0.248
C-I_2	QN-C-R	0.199
C-I_2	QN-C-R	0.188
C-I_2	QN-C-R	0.0
C-I_2	QN-C-R	0.0
C-I_2	QN-C-R	0.193
C-I_2	QN-C-R	0.025
C-I_2	QN-C-R	0.004
C-I_2	QN-C-R	0.057
C-I_2	QN-C-R	0.262
C-I_2	QN-C-R	0.559
C-I_2	QN-C-R	0.407
C-I_2	QN-C-R	0.456
C-I_2	QN-C-R	0.43
C-I_2	QN-C-R	0.475
C-I_2	QN-C-R	0.553
C-I_2	QN-C-R	0.381
C-I_2	QN-C-R	0.477
C-I_2	QN-C-R	0.124
C-I_2	QN-C-R	0.069
C-I_2	QN-C-R	0.445
C-I_2	QN-C-R	0.238
C-I_2	QN-C-R	0.271
C-I_2	QN-C-R	0.39
C-I_2	QN-C-R	0.478
C-I_2	QN-C-R	0.603
C-I_2	QN-C-R	0.461
C-I_2	QN-C-R	0.479
C-I_2	QN-C-R	0.467
C-I_2	QN-C-R	0.501
C-I_2	QN-C-R	0.57
C-I_2	QN-C-R	0.444
C-I_2	QN-C-R	0.522
C-I_2	QN-C-R	0.266
C-I_2	QN-C-R	0.166
C-I_2	QN-C-R	0.514
C-I_2	QN-C-R	0.312
C-I_2	QN-C-R	0.337
C-I_2	QN-C-R	0.449
C-I_2	QN-C-R	0.54
C-I_2	QN-C-R	0.604
C-I_2	QN-C-R	0.5
C-I_2	QN-C-R	0.528
C-I_2	QN-C-R	0.514
C-I_2	QN-C-R	0.558
C-I_2	QN-C-R	0.608
C-I_2	QN-C-R	0.471
C-I_2	QN-C-R	0.56
C-I_2	QN-C-R	0.163
C-I_2	QN-C-R	0.089
C-I_2	QN-C-R	0.512
C-I_2	QN-C-R	0.279
C-I_2	QN-C-R	0.311
C-I_2	QN-C-R	0.435
C-I_2	QN-C-R	0.508
C-I_2	QN-C-R	0.513
C-I_2	QN-C-R	0.382
C-I_2	QN-C-R	0.394
C-I_2	QN-C-R	0.373
C-I_2	QN-C-R	0.42
C-I_2	QN-C-R	0.496
C-I_2	QN-C-R	0.399
C-I_2	QN-C-R	0.458
C-I_2	QN-C-R	0.178
C-I_2	QN-C-R	0.131
C-I_2	QN-C-R	0.473
C-I_2	QN-C-R	0.252
C-I_2	QN-C-R	0.273
C-I_2	QN-C-R	0.382
C-I_2	QN-C-R	0.455
C-I_2	QN-C-R	0.579
C-I_2	QN-C-R	0.389
C-I_2	QN-C-R	0.348
C-I_2	QN-C-R	0.361
C-I_2	QN-C-R	0.369
C-I_2	QN-C-R	0.477
C-I_2	QN-C-R	0.429
C-I_2	QN-C-R	0.465
C-I_2	QN-C-R	0.448
C-I_2	QN-C-R	0.379
C-I_2	QN-C-R	0.561
C-I_2	QN-C-R	0.409
C-I_2	QN-C-R	0.432
C-I_2	QN-C-R	0.49
C-I_2	QN-C-R	0.592
C-I_2	QD-C-S	0.362
C-I_2	QD-C-S	0.308
C-I_2	QD-C-S	0.43
C-I_2	QD-C-S	0.442
C-I_2	QD-C-S	0.402
C-I_2	QD-C-S	0.425
C-I_2	QD-C-S	0.44
C-I_2	QD-C-S	0.424
C-I_2	QD-C-S	0.449
C-I_2	QD-C-S	0.425
C-I_2	QD-C-S	0.488
C-I_2	QD-C-S	0.487
C-I_2	QD-C-S	0.173
C-I_2	QD-C-S	0.333
C-I_2	QD-C-S	0.382
C-I_2	QD-C-S	0.42
C-I_2	QD-C-S	0.465
C-I_2	QD-C-S	0.558
C-I_2	QD-C-S	0.515
C-I_2	QD-C-S	0.52
C-I_2	QD-C-S	0.549
C-I_2	QD-C-S	0.405
C-I_2	QD-C-S	0.093
C-I_2	QD-C-S	0.038
C-I_2	QD-C-S	0.156
C-I_2	QD-C-S	0.053
C-I_2	QD-C-S	0.095
C-I_2	QD-C-S	0.15
C-I_2	QD-C-S	0.223
C-I_2	QD-C-S	0.152
C-I_2	QD-C-S	0.116
C-I_2	QD-C-S	0.216
C-I_2	QD-C-S	0.108
C-I_2	QD-C-S	0.392
C-I_2	QD-C-S	0.273
C-I_2	QD-C-S	0.456
C-I_2	QD-C-S	0.367
C-I_2	QD-C-S	0.422
C-I_2	QD-C-S	0.415
C-I_2	QD-C-S	0.416
C-I_2	QD-C-S	0.434
C-I_2	QD-C-S	0.415
C-I_2	QD-C-S	0.429
C-I_2	QD-C-S	0.403
C-I_2	QD-C-S	0.484
C-I_2	QD-C-S	0.416
C-I_2	QD-C-S	0.532
C-I_2	QD-C-S	0.407
C-I_2	QD-C-S	0.442
C-I_2	QD-C-S	0.458
C-I_2	QD-C-S	0.494
C-I_2	QD-C-S	0.525
C-I_2	QD-C-S	0.484
C-I_2	QD-C-S	0.565
C-I_2	QD-C-S	0.443
C-I_2	QD-C-S	0.435
C-I_2	QD-C-S	0.427
C-I_2	QD-C-S	0.576
C-I_2	QD-C-S	0.448
C-I_2	QD-C-S	0.472
C-I_2	QD-C-S	0.463
C-I_2	QD-C-S	0.456
C-I_2	QD-C-S	0.485
C-I_2	QD-C-S	0.437
C-I_2	QD-C-S	0.514
C-I_2	QD-C-S	0.474
C-I_2	QD-C-S	0.355
C-I_2	QD-C-S	0.285
C-I_2	QD-C-S	0.396
C-I_2	QD-C-S	0.436
C-I_2	QD-C-S	0.395
C-I_2	QD-C-S	0.359
C-I_2	QD-C-S	0.36
C-I_2	QD-C-S	0.38
C-I_2	QD-C-S	0.462
C-I_2	QD-C-S	0.382
C-I_2	QD-C-S	0.461
C-I_2	QD-C-S	0.523
C-I_2	QD-C-S	0.209
C-I_2	QD-C-S	0.272
C-I_2	QD-C-S	0.434
C-I_2	QD-C-S	0.435
C-I_2	QD-C-S	0.402
C-I_2	QD-C-S	0.494
C-I_2	QD-C-S	0.49
C-I_2	QD-C-S	0.612
C-I_2	QD-C-S	0.525
C-I_2	QD-C-S	0.471
C-I_2	QD-C-R	0.304
C-I_2	QD-C-R	0.399
C-I_2	QD-C-R	0.335
C-I_2	QD-C-R	0.351
C-I_2	QD-C-R	0.169
C-I_2	QD-C-R	0.404
C-I_2	QD-C-R	0.19
C-I_2	QD-C-R	0.311
C-I_2	QD-C-R	0.329
C-I_2	QD-C-R	0.363
C-I_2	QD-C-R	0.435
C-I_2	QD-C-R	0.517
C-I_2	QD-C-R	0.5
C-I_2	QD-C-R	0.375
C-I_2	QD-C-R	0.39
C-I_2	QD-C-R	0.598
C-I_2	QD-C-R	0.345
C-I_2	QD-C-R	0.467
C-I_2	QD-C-R	0.539
C-I_2	QD-C-R	0.517
C-I_2	QD-C-R	0.044
C-I_2	QD-C-R	0.093
C-I_2	QD-C-R	0.069
C-I_2	QD-C-R	0.0
C-I_2	QD-C-R	0.0
C-I_2	QD-C-R	0.175
C-I_2	QD-C-R	0.0
C-I_2	QD-C-R	0.12
C-I_2	QD-C-R	0.117
C-I_2	QD-C-R	0.067
C-I_2	QD-C-R	0.271
C-I_2	QD-C-R	0.374
C-I_2	QD-C-R	0.336
C-I_2	QD-C-R	0.275
C-I_2	QD-C-R	0.107
C-I_2	QD-C-R	0.408
C-I_2	QD-C-R	0.187
C-I_2	QD-C-R	0.277
C-I_2	QD-C-R	0.354
C-I_2	QD-C-R	0.271
C-I_2	QD-C-R	0.39
C-I_2	QD-C-R	0.463
C-I_2	QD-C-R	0.418
C-I_2	QD-C-R	0.374
C-I_2	QD-C-R	0.217
C-I_2	QD-C-R	0.475
C-I_2	QD-C-R	0.284
C-I_2	QD-C-R	0.346
C-I_2	QD-C-R	0.439
C-I_2	QD-C-R	0.369
C-I_2	QD-C-R	0.337
C-I_2	QD-C-R	0.404
C-I_2	QD-C-R	0.393
C-I_2	QD-C-R	0.352
C-I_2	QD-C-R	0.159
C-I_2	QD-C-R	0.432
C-I_2	QD-C-R	0.237
C-I_2	QD-C-R	0.322
C-I_2	QD-C-R	0.397
C-I_2	QD-C-R	0.308
C-I_2	QD-C-R	0.28
C-I_2	QD-C-R	0.36
C-I_2	QD-C-R	0.342
C-I_2	QD-C-R	0.365
C-I_2	QD-C-R	0.144
C-I_2	QD-C-R	0.387
C-I_2	QD-C-R	0.189
C-I_2	QD-C-R	0.273
C-I_2	QD-C-R	0.294
C-I_2	QD-C-R	0.325
C-I_2	QD-C-R	0.478
C-I_2	QD-C-R	0.555
C-I_2	QD-C-R	0.504
C-I_2	QD-C-R	0.487
C-I_2	QD-C-R	0.379
C-I_2	QD-C-R	0.585
C-I_2	QD-C-R	0.412
C-I_2	QD-C-R	0.455
C-I_2	QD-C-R	0.484
C-I_2	QD-C-R	0.539
C-I_2	SM-C-S	0.448
C-I_2	SM-C-S	0.399
C-I_2	SM-C-S	0.416
C-I_2	SM-C-S	0.264
C-I_2	SM-C-S	0.327
C-I_2	SM-C-S	0.359
C-I_2	SM-C-S	0.425
C-I_2	SM-C-S	0.473
C-I_2	SM-C-S	0.295
C-I_2	SM-C-S	0.415
C-I_2	SM-C-S	0.005
C-I_2	SM-C-S	0.119
C-I_2	SM-C-S	0.144
C-I_2	SM-C-S	0.0
C-I_2	SM-C-S	0.137
C-I_2	SM-C-S	0.337
C-I_2	SM-C-S	0.38
C-I_2	SM-C-S	0.4
C-I_2	SM-C-S	0.259
C-I_2	SM-C-S	0.374
C-I_2	SM-C-S	0.382
C-I_2	SM-C-S	0.406
C-I_2	SM-C-S	0.41
C-I_2	SM-C-S	0.339
C-I_2	SM-C-S	0.414
C-I_2	SM-C-S	0.426
C-I_2	SM-C-S	0.463
C-I_2	SM-C-S	0.479
C-I_2	SM-C-S	0.338
C-I_2	SM-C-S	0.421
C-I_2	SM-C-S	0.378
C-I_2	SM-C-S	0.375
C-I_2	SM-C-S	0.383
C-I_2	SM-C-S	0.243
C-I_2	SM-C-S	0.306
C-I_2	SM-C-S	0.322
C-I_2	SM-C-S	0.378
C-I_2	SM-C-S	0.373
C-I_2	SM-C-S	0.343
C-I_2	SM-C-S	0.413
C-I_2	SM-C-R	0.447
C-I_2	SM-C-R	0.483
C-I_2	SM-C-R	0.494
C-I_2	SM-C-R	0.449
C-I_2	SM-C-R	0.453
C-I_2	SM-C-R	0.395
C-I_2	SM-C-R	0.396
C-I_2	SM-C-R	0.35
C-I_2	SM-C-R	0.48
C-I_2	SM-C-R	0.583
C-I_2	SM-C-R	0.53
C-I_2	SM-C-R	0.459
C-I_2	SM-C-R	0.54
C-I_2	SM-C-R	0.475
C-I_2	SM-C-R	0.418
C-I_2	SM-C-R	0.413
C-I_2	SM-C-R	0.1
C-I_2	SM-C-R	0.208
