CpdClass1	CpdClass2	BioSim
NPs	GF-I-1	0.42
NPs	GF-I-1	0.635
NPs	GF-I-1	0.434
NPs	GF-I-1	0.493
NPs	GF-I-1	0.491
NPs	GF-I-1	0.514
NPs	GF-I-1	0.668
NPs	GF-I-1	0.463
NPs	GF-I-1	0.454
NPs	GF-I-1	0.635
NPs	GF-I-1	0.378
NPs	GF-I-1	0.559
NPs	GF-I-1	0.682
NPs	GF-I-1	0.483
NPs	GF-I-1	0.317
NPs	GF-I-1	0.354
NPs	GF-I-1	0.682
NPs	GF-I-1	0.54
NPs	GF-I-1	0.529
NPs	GF-I-1	0.589
NPs	GF-I-1	0.362
NPs	GF-I-1	0.391
NPs	GF-I-1	0.604
NPs	GF-I-1	0.424
NPs	GF-I-1	0.56
NPs	GF-I-1	0.468
NPs	GF-I-1	0.523
NPs	GF-I-1	0.662
NPs	GF-I-1	0.478
NPs	GF-I-1	0.522
NPs	GF-I-1	0.523
NPs	GF-I-1	0.373
NPs	GF-I-1	0.57
NPs	GF-I-1	0.593
NPs	GF-I-1	0.557
NPs	GF-I-1	0.385
NPs	GF-I-1	0.444
NPs	GF-I-1	0.694
NPs	GF-I-1	0.607
NPs	GF-I-1	0.611
NPs	GF-I-1	0.485
NPs	GF-I-1	0.437
NPs	GF-I-1	0.604
NPs	GF-I-1	0.778
NPs	GF-I-1	0.594
NPs	GF-I-1	0.654
NPs	GF-I-1	0.669
NPs	GF-I-1	0.657
NPs	GF-I-1	0.766
NPs	GF-I-1	0.609
NPs	GF-I-1	0.575
NPs	GF-I-1	0.551
NPs	GF-I-1	0.425
NPs	GF-I-1	0.71
NPs	GF-I-1	0.759
NPs	GF-I-1	0.669
NPs	GF-I-1	0.603
NPs	GF-I-1	0.54
NPs	GF-I-1	0.83
NPs	GF-I-1	0.68
NPs	GF-I-1	0.692
NPs	GF-I-1	0.714
NPs	GF-I-1	0.578
NPs	GF-I-1	0.563
NPs	GF-I-1	0.732
NPs	GF-I-1	0.571
NPs	GF-I-1	0.678
NPs	GF-I-1	0.631
NPs	GF-I-1	0.684
NPs	GF-I-1	0.757
NPs	GF-I-1	0.624
NPs	GF-I-1	0.597
NPs	GF-I-1	0.497
NPs	GF-I-1	0.43
NPs	GF-I-1	0.622
NPs	GF-I-1	0.652
NPs	GF-I-1	0.683
NPs	GF-I-1	0.567
NPs	GF-I-1	0.538
NPs	GF-I-1	0.782
NPs	GF-I-1	0.647
NPs	GF-I-1	0.717
NPs	GF-I-1	0.647
NPs	GF-I-1	0.576
NPs	GF-I-2	0.567
NPs	GF-I-2	0.683
NPs	GF-I-2	0.572
NPs	GF-I-2	0.415
NPs	GF-I-2	0.368
NPs	GF-I-2	0.32
NPs	GF-I-2	0.319
NPs	GF-I-2	0.27
NPs	GF-I-2	0.44
NPs	GF-I-2	0.535
NPs	GF-I-2	0.412
NPs	GF-I-2	0.587
NPs	GF-I-2	0.632
NPs	GF-I-2	0.611
NPs	GF-I-2	0.39
NPs	GF-I-2	0.473
NPs	GF-I-2	0.439
NPs	GF-I-2	0.352
NPs	GF-I-2	0.311
NPs	GF-I-2	0.507
NPs	GF-I-2	0.605
NPs	GF-I-2	0.36
NPs	GF-I-2	0.719
NPs	GF-I-2	0.748
NPs	GF-I-2	0.651
NPs	GF-I-2	0.484
NPs	GF-I-2	0.564
NPs	GF-I-2	0.512
NPs	GF-I-2	0.47
NPs	GF-I-2	0.37
NPs	GF-I-2	0.624
NPs	GF-I-2	0.686
NPs	GF-I-2	0.615
NPs	GF-I-2	0.708
NPs	GF-I-2	0.73
NPs	GF-I-2	0.666
NPs	GF-I-2	0.478
NPs	GF-I-2	0.613
NPs	GF-I-2	0.539
NPs	GF-I-2	0.477
NPs	GF-I-2	0.4
NPs	GF-I-2	0.624
NPs	GF-I-2	0.7
NPs	GF-I-2	0.541
NPs	GF-THPI	0.339
NPs	GF-THPI	0.0
NPs	GF-THPI	0.025
NPs	GF-THPI	0.0
NPs	GF-THPI	0.476
NPs	GF-THPI	0.271
NPs	GF-THPI	0.0
NPs	GF-THPI	0.0
NPs	GF-THPI	0.291
NPs	GF-THPI	0.0
NPs	GF-THPI	0.0
NPs	GF-THPI	0.0
NPs	GF-THPI	0.485
NPs	GF-THPI	0.21
NPs	GF-THPI	0.0
NPs	GF-THPI	0.0
NPs	GF-THPI	0.513
NPs	GF-THPI	0.0
NPs	GF-THPI	0.0
NPs	GF-THPI	0.0
NPs	GF-THPI	0.648
NPs	GF-THPI	0.406
NPs	GF-THPI	0.0
NPs	GF-THPI	0.0
NPs	GF-THPI	0.461
NPs	GF-THPI	0.0
NPs	GF-THPI	0.0
NPs	GF-THPI	0.0
NPs	GF-THPI	0.6
NPs	GF-THPI	0.363
NPs	GF-THPI	0.0
NPs	GF-THPI	0.0
NPs	QD-C-R	0.847
NPs	QD-C-R	0.799
NPs	QD-C-R	0.894
NPs	QD-C-R	0.861
NPs	QD-C-R	0.832
NPs	QD-C-R	0.873
NPs	QD-C-R	0.931
NPs	QD-C-R	0.885
NPs	QD-C-R	0.831
NPs	QD-C-R	0.838
NPs	QD-C-R	0.873
NPs	QD-C-R	0.823
NPs	QD-C-R	0.853
NPs	QD-C-R	0.822
NPs	QD-C-R	0.893
NPs	QD-C-R	0.85
NPs	QD-C-R	0.904
NPs	QD-C-R	0.83
NPs	QD-C-R	0.833
NPs	QD-C-R	0.89
NPs	QD-C-R	0.88
NPs	QD-C-R	0.856
NPs	QD-C-R	0.904
NPs	QD-C-R	0.866
NPs	QD-C-R	0.862
NPs	QD-C-R	0.885
NPs	QD-C-R	0.9
NPs	QD-C-R	0.867
NPs	QD-C-R	0.85
NPs	QD-C-R	0.89
NPs	QD-C-R	0.814
NPs	QD-C-R	0.768
NPs	QD-C-R	0.875
NPs	QD-C-R	0.872
NPs	QD-C-R	0.683
NPs	QD-C-R	0.752
NPs	QD-C-R	0.803
NPs	QD-C-R	0.804
NPs	QD-C-R	0.796
NPs	QD-C-R	0.764
NPs	QD-C-S	0.818
NPs	QD-C-S	0.249
