CpdClass1	CpdClass2	BioSim
QD-C-R	QD-C-R	0.785
QD-C-R	QD-C-R	0.643
QD-C-R	QD-C-R	0.719
QD-C-R	QD-C-R	0.473
QD-C-R	QD-C-R	0.583
QD-C-R	QD-C-R	0.785
QD-C-R	QD-C-R	0.762
QD-C-R	QD-C-R	0.835
QD-C-R	QD-C-R	0.515
QD-C-R	QD-C-R	0.701
QD-C-R	QD-C-R	0.643
QD-C-R	QD-C-R	0.762
QD-C-R	QD-C-R	0.866
QD-C-R	QD-C-R	0.478
QD-C-R	QD-C-R	0.689
QD-C-R	QD-C-R	0.719
QD-C-R	QD-C-R	0.835
QD-C-R	QD-C-R	0.866
QD-C-R	QD-C-R	0.573
QD-C-R	QD-C-R	0.682
QD-C-R	QD-C-R	0.473
QD-C-R	QD-C-R	0.515
QD-C-R	QD-C-R	0.478
QD-C-R	QD-C-R	0.573
QD-C-R	QD-C-R	0.446
QD-C-R	QD-C-R	0.583
QD-C-R	QD-C-R	0.701
QD-C-R	QD-C-R	0.689
QD-C-R	QD-C-R	0.682
QD-C-R	QD-C-R	0.446
QD-C-R	QD-C-S	0.614
QD-C-R	QD-C-S	0.684
QD-C-R	QD-C-S	0.631
QD-C-R	QD-C-S	0.682
QD-C-R	QD-C-S	0.522
QD-C-R	QD-C-S	0.329
QD-C-R	QD-C-S	0.629
QD-C-R	QD-C-S	0.755
QD-C-R	QD-C-S	0.61
QD-C-R	QD-C-S	0.715
QD-C-R	QD-C-S	0.641
QD-C-R	QD-C-S	0.605
QD-C-R	QD-C-S	0.525
QD-C-R	QD-C-S	0.677
QD-C-R	QD-C-S	0.734
QD-C-R	QD-C-S	0.696
QD-C-R	QD-C-S	0.661
QD-C-R	QD-C-S	0.674
QD-C-R	QD-C-S	0.626
QD-C-R	QD-C-S	0.635
QD-C-R	QD-C-S	0.701
QD-C-R	QD-C-S	0.836
QD-C-R	QD-C-S	0.776
QD-C-R	QD-C-S	0.741
QD-C-R	QD-C-S	0.762
QD-C-R	QD-C-S	0.69
QD-C-R	QD-C-S	0.613
QD-C-R	QD-C-S	0.774
QD-C-R	QD-C-S	0.513
QD-C-R	QD-C-S	0.602
QD-C-R	QD-C-S	0.62
QD-C-R	QD-C-S	0.666
QD-C-R	QD-C-S	0.561
QD-C-R	QD-C-S	0.671
QD-C-R	QD-C-S	0.551
QD-C-R	QD-C-S	0.64
QD-C-R	QD-C-S	0.491
QD-C-R	QD-C-S	0.619
QD-C-R	QD-C-S	0.624
QD-C-R	QD-C-S	0.504
QD-C-R	QD-C-S	0.676
QD-C-R	QD-C-S	0.523
QD-C-R	QD-I	0.506
QD-C-R	QD-I	0.652
QD-C-R	QD-I	0.705
QD-C-R	QD-I	0.674
QD-C-R	QD-I	0.568
QD-C-R	QD-I	0.829
QD-C-R	QD-I	0.682
QD-C-R	QD-I	0.723
QD-C-R	QD-I	0.727
QD-C-R	QD-I	0.778
QD-C-R	QD-I	0.763
QD-C-R	QD-I	0.765
QD-C-R	QD-I	0.738
QD-C-R	QD-I	0.775
QD-C-R	QD-I	0.797
QD-C-R	QD-I	0.773
QD-C-R	QD-I	0.84
QD-C-R	QD-I	0.732
QD-C-R	QD-I	0.733
