CpdClass1	CpdClass2	BioSim
QN-C-R	QN-C-R	0.665
QN-C-R	QN-C-R	0.805
QN-C-R	QN-C-R	0.675
QN-C-R	QN-C-R	0.849
QN-C-R	QN-C-R	0.836
QN-C-R	QN-C-R	0.768
QN-C-R	QN-C-R	0.735
QN-C-R	QN-C-R	0.82
QN-C-R	QN-C-R	0.762
QN-C-R	QN-C-R	0.763
QN-C-R	QN-C-R	0.809
QN-C-R	QN-C-R	0.782
QN-C-R	QN-C-R	0.818
QN-C-R	QN-C-R	0.702
QN-C-R	QN-C-R	0.665
QN-C-R	QN-C-R	0.804
QN-C-R	QN-C-R	0.957
QN-C-R	QN-C-R	0.747
QN-C-R	QN-C-R	0.657
QN-C-R	QN-C-R	0.955
QN-C-R	QN-C-R	0.682
QN-C-R	QN-C-R	0.914
QN-C-R	QN-C-R	0.924
QN-C-R	QN-C-R	0.918
QN-C-R	QN-C-R	0.913
QN-C-R	QN-C-R	0.377
QN-C-R	QN-C-R	0.778
QN-C-R	QN-C-R	0.361
QN-C-R	QN-C-R	0.805
QN-C-R	QN-C-R	0.804
QN-C-R	QN-C-R	0.775
QN-C-R	QN-C-R	0.821
QN-C-R	QN-C-R	0.875
QN-C-R	QN-C-R	0.823
QN-C-R	QN-C-R	0.852
QN-C-R	QN-C-R	0.834
QN-C-R	QN-C-R	0.827
QN-C-R	QN-C-R	0.801
QN-C-R	QN-C-R	0.85
QN-C-R	QN-C-R	0.64
QN-C-R	QN-C-R	0.811
QN-C-R	QN-C-R	0.622
QN-C-R	QN-C-R	0.675
QN-C-R	QN-C-R	0.957
QN-C-R	QN-C-R	0.775
QN-C-R	QN-C-R	0.77
QN-C-R	QN-C-R	0.622
QN-C-R	QN-C-R	0.93
QN-C-R	QN-C-R	0.678
QN-C-R	QN-C-R	0.916
QN-C-R	QN-C-R	0.942
QN-C-R	QN-C-R	0.927
QN-C-R	QN-C-R	0.909
QN-C-R	QN-C-R	0.383
QN-C-R	QN-C-R	0.801
QN-C-R	QN-C-R	0.358
QN-C-R	QN-C-R	0.849
QN-C-R	QN-C-R	0.747
QN-C-R	QN-C-R	0.821
QN-C-R	QN-C-R	0.77
QN-C-R	QN-C-R	0.815
QN-C-R	QN-C-R	0.813
QN-C-R	QN-C-R	0.726
QN-C-R	QN-C-R	0.831
QN-C-R	QN-C-R	0.796
QN-C-R	QN-C-R	0.797
QN-C-R	QN-C-R	0.789
QN-C-R	QN-C-R	0.611
QN-C-R	QN-C-R	0.843
QN-C-R	QN-C-R	0.498
QN-C-R	QN-C-R	0.836
QN-C-R	QN-C-R	0.657
QN-C-R	QN-C-R	0.875
QN-C-R	QN-C-R	0.622
QN-C-R	QN-C-R	0.815
QN-C-R	QN-C-R	0.712
QN-C-R	QN-C-R	0.863
QN-C-R	QN-C-R	0.769
QN-C-R	QN-C-R	0.736
QN-C-R	QN-C-R	0.734
QN-C-R	QN-C-R	0.773
QN-C-R	QN-C-R	0.753
QN-C-R	QN-C-R	0.765
QN-C-R	QN-C-R	0.682
QN-C-R	QN-C-R	0.768
QN-C-R	QN-C-R	0.955
QN-C-R	QN-C-R	0.823
QN-C-R	QN-C-R	0.93
QN-C-R	QN-C-R	0.813
QN-C-R	QN-C-R	0.712
QN-C-R	QN-C-R	0.677
QN-C-R	QN-C-R	0.942
QN-C-R	QN-C-R	0.924
QN-C-R	QN-C-R	0.935
QN-C-R	QN-C-R	0.935
QN-C-R	QN-C-R	0.461
QN-C-R	QN-C-R	0.841
QN-C-R	QN-C-R	0.409
QN-C-R	QN-C-R	0.735
QN-C-R	QN-C-R	0.682
QN-C-R	QN-C-R	0.852
QN-C-R	QN-C-R	0.678
QN-C-R	QN-C-R	0.726
QN-C-R	QN-C-R	0.863
QN-C-R	QN-C-R	0.677
QN-C-R	QN-C-R	0.759
QN-C-R	QN-C-R	0.752
QN-C-R	QN-C-R	0.695
QN-C-R	QN-C-R	0.753
QN-C-R	QN-C-R	0.723
QN-C-R	QN-C-R	0.767
QN-C-R	QN-C-R	0.742
QN-C-R	QN-C-R	0.82
QN-C-R	QN-C-R	0.914
QN-C-R	QN-C-R	0.834
QN-C-R	QN-C-R	0.916
QN-C-R	QN-C-R	0.831
QN-C-R	QN-C-R	0.769
QN-C-R	QN-C-R	0.942
QN-C-R	QN-C-R	0.759
QN-C-R	QN-C-R	0.954
QN-C-R	QN-C-R	0.947
QN-C-R	QN-C-R	0.953
QN-C-R	QN-C-R	0.577
QN-C-R	QN-C-R	0.851
QN-C-R	QN-C-R	0.525
QN-C-R	QN-C-R	0.762
QN-C-R	QN-C-R	0.924
QN-C-R	QN-C-R	0.827
QN-C-R	QN-C-R	0.942
QN-C-R	QN-C-R	0.796
QN-C-R	QN-C-R	0.736
QN-C-R	QN-C-R	0.924
QN-C-R	QN-C-R	0.752
QN-C-R	QN-C-R	0.954
QN-C-R	QN-C-R	0.954
QN-C-R	QN-C-R	0.948
QN-C-R	QN-C-R	0.537
QN-C-R	QN-C-R	0.822
QN-C-R	QN-C-R	0.489
QN-C-R	QN-C-R	0.763
QN-C-R	QN-C-R	0.918
QN-C-R	QN-C-R	0.801
QN-C-R	QN-C-R	0.927
QN-C-R	QN-C-R	0.797
QN-C-R	QN-C-R	0.734
QN-C-R	QN-C-R	0.935
QN-C-R	QN-C-R	0.695
QN-C-R	QN-C-R	0.947
QN-C-R	QN-C-R	0.954
QN-C-R	QN-C-R	0.945
QN-C-R	QN-C-R	0.491
QN-C-R	QN-C-R	0.786
QN-C-R	QN-C-R	0.437
QN-C-R	QN-C-R	0.809
QN-C-R	QN-C-R	0.913
QN-C-R	QN-C-R	0.85
QN-C-R	QN-C-R	0.909
QN-C-R	QN-C-R	0.789
QN-C-R	QN-C-R	0.773
QN-C-R	QN-C-R	0.935
