CpdClass1	CpdClass2	BioSim
SM-P	SM-C-S	0.853
SM-P	SM-C-S	0.909
SM-P	SM-C-S	0.901
SM-P	SM-C-S	0.819
SM-P	SM-C-S	0.838
SM-P	SM-C-S	0.701
SM-P	SM-C-S	0.661
SM-P	SM-C-S	0.66
SM-P	SM-C-S	0.792
SM-P	SM-C-S	0.764
SM-P	SM-C-S	0.778
SM-P	SM-C-S	0.769
SM-P	SM-C-S	0.774
SM-P	SM-C-S	0.852
SM-P	SM-C-S	0.86
SM-P	SM-C-S	0.882
SM-P	SM-C-S	0.889
SM-P	SM-C-S	0.905
SM-P	SM-C-S	0.799
SM-P	SM-C-S	0.837
SM-P	SM-C-S	0.888
SM-P	SM-C-S	0.937
SM-P	SM-C-S	0.929
SM-P	SM-C-S	0.855
SM-P	SM-C-S	0.872
SM-P	SM-C-R	0.81
SM-P	SM-C-R	0.812
SM-P	SM-C-R	0.915
SM-P	SM-C-R	0.93
SM-P	SM-C-R	0.826
SM-P	SM-C-R	0.867
SM-P	SM-C-R	0.893
SM-P	SM-C-R	0.851
SM-P	SM-C-R	0.671
SM-P	SM-C-R	0.761
SM-P	SM-C-R	0.725
SM-P	SM-C-R	0.723
SM-P	SM-C-R	0.745
SM-P	SM-C-R	0.711
SM-P	SM-C-R	0.669
SM-P	SM-C-R	0.774
SM-P	SM-C-R	0.796
SM-P	SM-C-R	0.866
SM-P	SM-C-R	0.792
SM-P	SM-C-R	0.798
SM-P	SM-C-R	0.83
SM-P	SM-C-R	0.813
SM-P	SM-C-R	0.773
SM-P	SM-C-R	0.852
SM-P	SM-C-R	0.871
SM-P	SM-C-R	0.871
SM-P	SM-C-R	0.865
SM-P	SM-C-R	0.888
SM-P	SM-C-R	0.827
SM-P	SM-C-R	0.878
SM-P	SM-C-R	0.89
SM-P	SM-C-R	0.853
SM-P	SM-C-R	0.866
SM-P	SM-C-R	0.85
SM-P	SM-C-R	0.878
SM-P	SM-C-R	0.892
SM-P	SM-C-R	0.85
SM-P	SM-C-R	0.906
SM-P	SM-C-R	0.922
SM-P	SM-C-R	0.897
SM-P	SM-I-closed	0.93
SM-P	SM-I-closed	0.905
SM-P	SM-I-closed	0.907
SM-P	SM-I-closed	0.772
SM-P	SM-I-closed	0.85
SM-P	SM-I-closed	0.899
SM-P	SM-I-closed	0.851
SM-P	SM-I-closed	0.6
SM-P	SM-I-closed	0.672
SM-P	SM-I-closed	0.68
SM-P	SM-I-closed	0.788
SM-P	SM-I-closed	0.584
SM-P	SM-I-closed	0.612
SM-P	SM-I-closed	0.694
SM-P	SM-I-closed	0.701
SM-P	SM-I-closed	0.767
SM-P	SM-I-closed	0.79
SM-P	SM-I-closed	0.858
SM-P	SM-I-closed	0.669
SM-P	SM-I-closed	0.72
SM-P	SM-I-closed	0.766
SM-P	SM-I-closed	0.875
SM-P	SM-I-closed	0.885
SM-P	SM-I-closed	0.876
SM-P	SM-I-closed	0.784
SM-P	SM-I-closed	0.732
SM-P	SM-I-closed	0.832
SM-P	SM-I-closed	0.786
SM-P	SM-I-closed	0.897
SM-P	SM-I-closed	0.895
SM-P	SM-I-closed	0.916
SM-P	SM-I-closed	0.819
SM-P	SM-I-closed	0.821
SM-P	SM-I-closed	0.91
SM-P	SM-I-closed	0.868
SM-P	SM-I-opened	0.884
SM-P	SM-I-opened	0.839
SM-P	SM-I-opened	0.851
SM-P	SM-I-opened	0.801
SM-P	SM-I-opened	0.876
SM-P	SM-I-opened	0.564
SM-P	SM-I-opened	0.782
SM-P	SM-I-opened	0.608
SM-P	SM-I-opened	0.778
SM-P	SM-I-opened	0.759
SM-P	SM-I-opened	0.728
SM-P	SM-I-opened	0.719
SM-P	SM-I-opened	0.83
SM-P	SM-I-opened	0.873
SM-P	SM-I-opened	0.725
SM-P	SM-I-opened	0.844
SM-P	SM-I-opened	0.837
SM-P	SM-I-opened	0.807
SM-P	SM-I-opened	0.819
SM-P	SM-I-opened	0.816
SM-P	SM-I-opened	0.954
SM-P	SM-I-opened	0.887
SM-P	SM-I-opened	0.796
SM-P	SM-I-opened	0.838
SM-P	SM-I-opened	0.837
SM-P	SM-I-opened	0.859
SM-P	SM-I-opened	0.597
SM-P	SM-I-opened	0.786
SM-P	SM-I-opened	0.92
SM-P	SM-I-opened	0.857
SM-P	SM-I-opened	0.868
SM-P	SM-I-opened	0.86
SM-P	SM-I-opened	0.91
SM-P	SM-I-opened	0.635
SM-P	SM-I-opened	0.796
