CpdClass1	CpdClass2	BioSim
SM-C-R	SM-C-R	0.892
SM-C-R	SM-C-R	0.867
SM-C-R	SM-C-R	0.833
SM-C-R	SM-C-R	0.879
SM-C-R	SM-C-R	0.937
SM-C-R	SM-C-R	0.934
SM-C-R	SM-C-R	0.816
SM-C-R	SM-C-R	0.892
SM-C-R	SM-C-R	0.971
SM-C-R	SM-C-R	0.835
SM-C-R	SM-C-R	0.833
SM-C-R	SM-C-R	0.863
SM-C-R	SM-C-R	0.862
SM-C-R	SM-C-R	0.84
SM-C-R	SM-C-R	0.867
SM-C-R	SM-C-R	0.971
SM-C-R	SM-C-R	0.837
SM-C-R	SM-C-R	0.837
SM-C-R	SM-C-R	0.848
SM-C-R	SM-C-R	0.845
SM-C-R	SM-C-R	0.861
SM-C-R	SM-C-R	0.833
SM-C-R	SM-C-R	0.835
SM-C-R	SM-C-R	0.837
SM-C-R	SM-C-R	0.878
SM-C-R	SM-C-R	0.885
SM-C-R	SM-C-R	0.869
SM-C-R	SM-C-R	0.9
SM-C-R	SM-C-R	0.879
SM-C-R	SM-C-R	0.833
SM-C-R	SM-C-R	0.837
SM-C-R	SM-C-R	0.878
SM-C-R	SM-C-R	0.922
SM-C-R	SM-C-R	0.902
SM-C-R	SM-C-R	0.799
SM-C-R	SM-C-R	0.937
SM-C-R	SM-C-R	0.863
SM-C-R	SM-C-R	0.848
SM-C-R	SM-C-R	0.885
SM-C-R	SM-C-R	0.922
SM-C-R	SM-C-R	0.934
SM-C-R	SM-C-R	0.826
SM-C-R	SM-C-R	0.934
SM-C-R	SM-C-R	0.862
SM-C-R	SM-C-R	0.845
SM-C-R	SM-C-R	0.869
SM-C-R	SM-C-R	0.902
SM-C-R	SM-C-R	0.934
SM-C-R	SM-C-R	0.807
SM-C-R	SM-C-R	0.816
SM-C-R	SM-C-R	0.84
SM-C-R	SM-C-R	0.861
SM-C-R	SM-C-R	0.9
SM-C-R	SM-C-R	0.799
SM-C-R	SM-C-R	0.826
SM-C-R	SM-C-R	0.807
SM-C-R	SM-C-S	0.955
SM-C-R	SM-C-S	0.89
SM-C-R	SM-C-S	0.952
SM-C-R	SM-C-S	0.866
SM-C-R	SM-C-S	0.879
SM-C-R	SM-C-S	0.877
SM-C-R	SM-C-S	0.812
SM-C-R	SM-C-S	0.867
SM-C-R	SM-C-S	0.809
SM-C-R	SM-C-S	0.923
SM-C-R	SM-C-S	0.859
SM-C-R	SM-C-S	0.812
SM-C-R	SM-C-S	0.855
SM-C-R	SM-C-S	0.802
SM-C-R	SM-C-S	0.901
SM-C-R	SM-C-S	0.82
SM-C-R	SM-C-S	0.866
SM-C-R	SM-C-S	0.851
SM-C-R	SM-C-S	0.808
SM-C-R	SM-C-S	0.816
SM-C-R	SM-C-S	0.869
SM-C-R	SM-C-S	0.892
SM-C-R	SM-C-S	0.87
SM-C-R	SM-C-S	0.841
SM-C-R	SM-C-S	0.795
SM-C-R	SM-C-S	0.924
SM-C-R	SM-C-S	0.894
SM-C-R	SM-C-S	0.935
SM-C-R	SM-C-S	0.863
SM-C-R	SM-C-S	0.851
SM-C-R	SM-C-S	0.922
SM-C-R	SM-C-S	0.933
SM-C-R	SM-C-S	0.922
SM-C-R	SM-C-S	0.925
SM-C-R	SM-C-S	0.835
SM-C-R	SM-C-S	0.8
SM-C-R	SM-C-S	0.804
SM-C-R	SM-C-S	0.823
SM-C-R	SM-C-S	0.784
SM-C-R	SM-C-S	0.85
SM-C-R	SM-I-closed	0.849
SM-C-R	SM-I-closed	0.828
SM-C-R	SM-I-closed	0.918
SM-C-R	SM-I-closed	0.884
SM-C-R	SM-I-closed	0.882
SM-C-R	SM-I-closed	0.923
SM-C-R	SM-I-closed	0.766
SM-C-R	SM-I-closed	0.776
SM-C-R	SM-I-closed	0.83
SM-C-R	SM-I-closed	0.953
SM-C-R	SM-I-closed	0.934
SM-C-R	SM-I-closed	0.904
SM-C-R	SM-I-closed	0.786
SM-C-R	SM-I-closed	0.779
SM-C-R	SM-I-closed	0.825
SM-C-R	SM-I-closed	0.914
SM-C-R	SM-I-closed	0.911
SM-C-R	SM-I-closed	0.902
SM-C-R	SM-I-closed	0.698
SM-C-R	SM-I-closed	0.872
SM-C-R	SM-I-closed	0.763
SM-C-R	SM-I-closed	0.79
