CpdClass1	CpdClass2	BioSim
GF-I-1	GF-I-1	0.691
GF-I-1	GF-I-1	0.544
GF-I-1	GF-I-1	0.734
GF-I-1	GF-I-1	0.389
GF-I-1	GF-I-1	0.887
GF-I-1	GF-I-1	0.787
GF-I-1	GF-I-1	0.741
GF-I-1	GF-I-1	0.74
GF-I-1	GF-I-1	0.821
GF-I-1	GF-I-1	0.63
GF-I-1	GF-I-1	0.428
GF-I-1	GF-I-1	0.796
GF-I-1	GF-I-1	0.536
GF-I-1	GF-I-1	0.806
GF-I-1	GF-I-1	0.728
GF-I-1	GF-I-1	0.786
GF-I-1	GF-I-1	0.776
GF-I-1	GF-I-1	0.838
GF-I-1	GF-I-1	0.765
GF-I-1	GF-I-1	0.691
GF-I-1	GF-I-1	0.886
GF-I-1	GF-I-1	0.819
GF-I-1	GF-I-1	0.724
GF-I-1	GF-I-1	0.701
GF-I-1	GF-I-1	0.848
GF-I-1	GF-I-1	0.733
GF-I-1	GF-I-1	0.772
GF-I-1	GF-I-1	0.68
GF-I-1	GF-I-1	0.859
GF-I-1	GF-I-1	0.765
GF-I-1	GF-I-1	0.814
GF-I-1	GF-I-1	0.603
GF-I-1	GF-I-1	0.661
GF-I-1	GF-I-1	0.803
GF-I-1	GF-I-1	0.735
GF-I-1	GF-I-1	0.486
GF-I-1	GF-I-1	0.729
GF-I-1	GF-I-1	0.833
GF-I-1	GF-I-1	0.544
GF-I-1	GF-I-1	0.886
GF-I-1	GF-I-1	0.743
GF-I-1	GF-I-1	0.708
GF-I-1	GF-I-1	0.526
GF-I-1	GF-I-1	0.745
GF-I-1	GF-I-1	0.613
GF-I-1	GF-I-1	0.671
GF-I-1	GF-I-1	0.589
GF-I-1	GF-I-1	0.819
GF-I-1	GF-I-1	0.751
GF-I-1	GF-I-1	0.767
GF-I-1	GF-I-1	0.597
GF-I-1	GF-I-1	0.566
GF-I-1	GF-I-1	0.68
GF-I-1	GF-I-1	0.681
GF-I-1	GF-I-1	0.416
GF-I-1	GF-I-1	0.62
GF-I-1	GF-I-1	0.799
GF-I-1	GF-I-1	0.734
GF-I-1	GF-I-1	0.819
GF-I-1	GF-I-1	0.743
GF-I-1	GF-I-1	0.698
GF-I-1	GF-I-1	0.761
GF-I-1	GF-I-1	0.821
GF-I-1	GF-I-1	0.657
GF-I-1	GF-I-1	0.756
GF-I-1	GF-I-1	0.801
GF-I-1	GF-I-1	0.646
GF-I-1	GF-I-1	0.692
GF-I-1	GF-I-1	0.722
GF-I-1	GF-I-1	0.666
GF-I-1	GF-I-1	0.577
GF-I-1	GF-I-1	0.684
GF-I-1	GF-I-1	0.848
GF-I-1	GF-I-1	0.531
GF-I-1	GF-I-1	0.872
GF-I-1	GF-I-1	0.833
GF-I-1	GF-I-1	0.389
GF-I-1	GF-I-1	0.724
GF-I-1	GF-I-1	0.708
GF-I-1	GF-I-1	0.698
GF-I-1	GF-I-1	0.427
GF-I-1	GF-I-1	0.672
GF-I-1	GF-I-1	0.471
GF-I-1	GF-I-1	0.565
GF-I-1	GF-I-1	0.384
GF-I-1	GF-I-1	0.508
GF-I-1	GF-I-1	0.813
GF-I-1	GF-I-1	0.434
GF-I-1	GF-I-1	0.542
GF-I-1	GF-I-1	0.258
GF-I-1	GF-I-1	0.459
GF-I-1	GF-I-1	0.481
GF-I-1	GF-I-1	0.161
GF-I-1	GF-I-1	0.469
GF-I-1	GF-I-1	0.522
GF-I-1	GF-I-1	0.887
GF-I-1	GF-I-1	0.701
GF-I-1	GF-I-1	0.526
GF-I-1	GF-I-1	0.761
GF-I-1	GF-I-1	0.427
GF-I-1	GF-I-1	0.807
GF-I-1	GF-I-1	0.682
GF-I-1	GF-I-1	0.738
GF-I-1	GF-I-1	0.752
GF-I-1	GF-I-1	0.612
GF-I-1	GF-I-1	0.454
GF-I-1	GF-I-1	0.717
GF-I-1	GF-I-1	0.584
GF-I-1	GF-I-1	0.728
GF-I-1	GF-I-1	0.733
GF-I-1	GF-I-1	0.69
GF-I-1	GF-I-1	0.712
GF-I-1	GF-I-1	0.794
GF-I-1	GF-I-1	0.749
GF-I-1	GF-I-1	0.787
