CpdClass1	CpdClass2	BioSim_median	BioSim_median_absolute_deviation
SM-C-R	SM-C-R	0.8625	0.04225410000000004
SM-C-R	SM-C-S	0.8645	0.06375180000000014
SM-C-R	SM-I-closed	0.8294999999999999	0.07857779999999999
SM-C-R	SM-I-opened	0.844	0.05114970000000004
SM-C-S	SM-C-S	0.8685	0.03706500000000011
SM-C-S	SM-I-closed	0.861	0.05485620000000005
SM-C-S	SM-I-opened	0.8505	0.07412999999999997
SM-I-closed	SM-I-closed	0.854	0.08154299999999991
SM-I-closed	SM-I-opened	0.8145	0.1022994
SM-I-opened	SM-I-opened	0.826	0.09636900000000008
