Well_Id	CpdClass	Group
408584:01:06_30.00	QN-C-S	Sub-classes
408636:01:06_30.00	QN-C-S	Sub-classes
408641:01:04_10.00	QN-C-S	Sub-classes
408616:01:05_10.00	QN-C-S	Sub-classes
408612:01:05_10.00	QN-C-S	Sub-classes
408614:02:02_10.00	QN-C-S	Sub-classes
408617:01:05_10.00	QN-C-R	Sub-classes
409706:01:02_10.00	QN-C-R	Sub-classes
408608:01:07_30.00	QN-C-R	Sub-classes
409707:01:02_10.00	QN-C-R	Sub-classes
408615:02:02_10.00	QN-C-R	Sub-classes
408644:01:06_30.00	QN-C-R	Sub-classes
409704:01:03_10.00	QN-C-R	Sub-classes
408637:01:06_30.00	QN-C-R	Sub-classes
409700:01:03_10.00	QN-C-R	Sub-classes
409703:01:02_10.00	QN-C-R	Sub-classes
409702:01:02_10.00	QN-C-R	Sub-classes
409698:01:03_10.00	QN-C-R	Sub-classes
408609:01:04_01.00	QN-C-R	Sub-classes
410427:01:07_03.00	QN-C-R	Sub-classes
408606:01:05_03.00	QN-C-R	Sub-classes
408278:01:13_10.00	QN-I	Sub-classes
408299:01:09_30.00	QN-I	Sub-classes
408302:01:05_03.00	QN-I	Sub-classes
408291:01:09_10.00	QN-I	Sub-classes
408803:01:05_10.00	QN-I	Sub-classes
408311:01:08_10.00	QN-I	Sub-classes
412006:01:05_50.00	QD-C-S	Sub-classes
408626:01:07_10.00	QD-C-S	Sub-classes
408633:01:04_03.00	QD-C-S	Sub-classes
410483:01:02_10.00	QD-C-S	Sub-classes
408628:01:09_10.00	QD-C-S	Sub-classes
412008:01:03_10.00	QD-C-S	Sub-classes
408619:01:10_10.00	QD-C-S	Sub-classes
408624:01:06_30.00	QD-C-S	Sub-classes
410487:01:04_03.00	QD-C-S	Sub-classes
412003:01:05_10.00	QD-C-S	Sub-classes
412002:01:03_10.00	QD-C-S	Sub-classes
410488:01:02_10.00	QD-C-R	Sub-classes
408620:01:05_30.00	QD-C-R	Sub-classes
408629:01:05_50.00	QD-C-R	Sub-classes
410490:01:06_10.00	QD-C-R	Sub-classes
410484:01:02_10.00	QD-C-R	Sub-classes
408625:01:05_50.00	QD-C-R	Sub-classes
410480:01:05_10.00	QD-C-R	Sub-classes
410478:01:03_30.00	QD-C-R	Sub-classes
410486:01:02_10.00	QD-C-R	Sub-classes
410482:01:02_10.00	QD-C-R	Sub-classes
408294:01:06_30.00	QD-I	Sub-classes
407637:01:05_30.00	QD-I	Sub-classes
407638:01:05_30.00	QD-I	Sub-classes
407156:01:06_50.00	QD-I	Sub-classes
408305:01:08_30.00	QD-I	Sub-classes
408308:01:05_30.00	QD-I	Sub-classes
408313:01:05_50.00	QD-I	Sub-classes
408304:01:05_30.00	QD-I	Sub-classes
408310:01:05_50.00	QD-I	Sub-classes
408288:01:05_50.00	QD-I	Sub-classes
409726:01:05_03.00	SM-C-S	Sub-classes
410416:01:05_03.00	SM-C-S	Sub-classes
410418:01:03_03.00	SM-C-S	Sub-classes
410417:01:03_03.00	SM-C-S	Sub-classes
409733:01:02_10.00	SM-C-S	Sub-classes
409728:01:08_03.00	SM-C-R	Sub-classes
409723:01:02_10.00	SM-C-R	Sub-classes
409722:01:02_10.00	SM-C-R	Sub-classes
409055:01:03_10.00	SM-C-R	Sub-classes
409727:01:05_01.00	SM-C-R	Sub-classes
409732:01:04_01.00	SM-C-R	Sub-classes
409049:01:08_03.00	SM-C-R	Sub-classes
409051:01:02_10.00	SM-C-R	Sub-classes
409677:01:05_03.00	SM-I-closed	Sub-classes
409715:01:04_01.00	SM-I-closed	Sub-classes
410431:01:03_03.00	SM-I-closed	Sub-classes
409713:01:03_10.00	SM-I-closed	Sub-classes
409714:01:03_10.00	SM-I-closed	Sub-classes
409676:01:05_01.00	SM-I-closed	Sub-classes
410441:01:05_03.00	SM-I-opened	Sub-classes
410420:01:03_01.00	SM-I-opened	Sub-classes
410439:01:05_01.00	SM-I-opened	Sub-classes
410422:01:05_01.00	SM-I-opened	Sub-classes
410421:01:04_01.00	SM-I-opened	Sub-classes
410440:01:04_01.00	SM-I-opened	Sub-classes
409697:01:06_30.00	GF-I-1	Sub-classes
408604:02:02_10.00	GF-I-1	Sub-classes
408579:01:04_10.00	GF-I-1	Sub-classes
409695:01:02_10.00	GF-I-1	Sub-classes
408590:01:10_03.00	GF-I-1	Sub-classes
409682:01:05_50.00	GF-I-1	Sub-classes
409689:01:09_10.00	GF-I-1	Sub-classes
408599:01:08_30.00	GF-I-1	Sub-classes
408600:01:11_10.00	GF-I-1	Sub-classes
409680:01:02_10.00	GF-I-1	Sub-classes
409076:01:02_10.00	GF-I-1	Sub-classes
408582:01:08_03.00	GF-I-1	Sub-classes
408647:01:05_10.00	GF-I-1	Sub-classes
408592:01:08_30.00	GF-I-1	Sub-classes
408646:01:05_10.00	GF-I-1	Sub-classes
409072:01:02_10.00	GF-I-1	Sub-classes
409683:01:02_10.00	GF-I-1	Sub-classes
409078:01:04_50.00	GF-I-1	Sub-classes
409688:01:02_10.00	GF-I-1	Sub-classes
409685:01:03_10.00	GF-I-1	Sub-classes
409079:01:04_50.00	GF-I-2	Sub-classes
409673:01:04_50.00	GF-I-2	Sub-classes
409694:01:11_10.00	GF-I-2	Sub-classes
408596:01:08_30.00	GF-I-2	Sub-classes
408602:01:06_30.00	GF-I-2	Sub-classes
408648:01:06_10.00	GF-I-2	Sub-classes
409696:01:08_10.00	GF-I-2	Sub-classes
409692:01:02_10.00	GF-I-2	Sub-classes
409681:01:02_10.00	GF-I-2	Sub-classes
408591:01:05_10.00	GF-I-2	Sub-classes
409081:01:05_10.00	GF-I-2	Sub-classes
412373:01:02_10.00	GF-THPI	Sub-classes
412370:01:03_10.00	GF-THPI	Sub-classes
412366:01:02_10.00	GF-THPI	Sub-classes
409966:01:11_30.00	GF-THPI	Sub-classes
412374:01:02_10.00	GF-THPI	Sub-classes
412371:01:02_10.00	GF-THPI	Sub-classes
412372:01:03_10.00	GF-THPI	Sub-classes
412367:01:02_10.00	GF-THPI	Sub-classes
410481:01:02_10.00	QD-C-S	QD
408630:02:06_03.00	QD-C-S	QD
408632:01:05_10.00	QD-C-S	QD
410487:01:04_01.00	QD-C-S	QD
408626:01:05_10.00	QD-C-S	QD
412006:01:05_30.00	QD-C-S	QD
408578:01:05_10.00	QD-C-S	QD
408631:01:07_03.00	QD-C-R	QD
412005:01:04_30.00	QD-C-R	QD
408625:01:05_30.00	QD-C-R	QD
410490:01:02_10.00	QD-C-R	QD
408627:01:03_10.00	QD-C-R	QD
408623:01:06_30.00	QD-C-R	QD
408308:01:05_30.00	QD-I	QD
408313:01:05_50.00	QD-I	QD
408310:01:05_50.00	QD-I	QD
408288:01:05_50.00	QD-I	QD
408304:01:05_50.00	QD-I	QD
408287:01:06_50.00	QD-I	QD
407637:01:05_10.00	QD-I	QD
407156:01:06_30.00	QD-I	QD
407638:01:04_10.00	QD-I	QD
409726:01:05_03.00	SM-C-S	Sinomenine
410416:01:05_03.00	SM-C-S	Sinomenine
410418:01:03_03.00	SM-C-S	Sinomenine
410417:01:03_03.00	SM-C-S	Sinomenine
409733:01:02_10.00	SM-C-S	Sinomenine
409728:01:08_03.00	SM-C-R	Sinomenine
409723:01:02_10.00	SM-C-R	Sinomenine
409722:01:02_10.00	SM-C-R	Sinomenine
409055:01:03_10.00	SM-C-R	Sinomenine
409727:01:05_01.00	SM-C-R	Sinomenine
409732:01:04_01.00	SM-C-R	Sinomenine
409049:01:08_03.00	SM-C-R	Sinomenine
409051:01:02_10.00	SM-C-R	Sinomenine
409677:01:05_03.00	SM-I-closed	Sinomenine
409715:01:04_01.00	SM-I-closed	Sinomenine
410431:01:03_03.00	SM-I-closed	Sinomenine
409713:01:03_10.00	SM-I-closed	Sinomenine
409714:01:03_10.00	SM-I-closed	Sinomenine
409676:01:05_01.00	SM-I-closed	Sinomenine
410441:01:05_03.00	SM-I-opened	Sinomenine
410420:01:03_01.00	SM-I-opened	Sinomenine
410439:01:05_01.00	SM-I-opened	Sinomenine
410422:01:05_01.00	SM-I-opened	Sinomenine
410421:01:04_01.00	SM-I-opened	Sinomenine
410440:01:04_01.00	SM-I-opened	Sinomenine
408584:01:06_30.00	QN-C-S	QN
408636:01:06_30.00	QN-C-S	QN
408641:01:04_10.00	QN-C-S	QN
408616:01:05_10.00	QN-C-S	QN
408612:01:05_10.00	QN-C-S	QN
408614:02:02_10.00	QN-C-S	QN
