	Chembl_Id
0	CHEMBL10
1	CHEMBL100177
2	CHEMBL100259
3	CHEMBL1006
4	CHEMBL100611
5	CHEMBL101
6	CHEMBL1010
7	CHEMBL101253
8	CHEMBL101362
9	CHEMBL101506
10	CHEMBL101892
11	CHEMBL101921
12	CHEMBL102201
13	CHEMBL1023
14	CHEMBL1027
15	CHEMBL102970
16	CHEMBL103
17	CHEMBL103046
18	CHEMBL103283
19	CHEMBL1034
20	CHEMBL103552
21	CHEMBL103600
22	CHEMBL104
23	CHEMBL1042
24	CHEMBL104255
25	CHEMBL1044
26	CHEMBL104647
27	CHEMBL105
28	CHEMBL105278
29	CHEMBL105310
30	CHEMBL105350
31	CHEMBL105360
32	CHEMBL105432
33	CHEMBL105450
34	CHEMBL105608
35	CHEMBL105789
36	CHEMBL105809
37	CHEMBL105867
38	CHEMBL1059
39	CHEMBL106
40	CHEMBL1063
41	CHEMBL1065
42	CHEMBL106509
43	CHEMBL106562
44	CHEMBL107
45	CHEMBL107251
46	CHEMBL107498
47	CHEMBL1075632
48	CHEMBL1075639
49	CHEMBL1075663
50	CHEMBL1075681
51	CHEMBL1075687
52	CHEMBL1075700
53	CHEMBL1075701
54	CHEMBL1075702
55	CHEMBL1075721
56	CHEMBL1075722
57	CHEMBL1075736
58	CHEMBL1075765
59	CHEMBL1075766
60	CHEMBL1075767
61	CHEMBL1075768
62	CHEMBL1075769
63	CHEMBL1075770
64	CHEMBL1075771
65	CHEMBL1075775
66	CHEMBL1075776
67	CHEMBL1075789
68	CHEMBL1075790
69	CHEMBL1075796
70	CHEMBL1075814
71	CHEMBL1075818
72	CHEMBL1075819
73	CHEMBL1075850
74	CHEMBL1075851
75	CHEMBL1075852
76	CHEMBL1075888
77	CHEMBL1075889
78	CHEMBL1075891
79	CHEMBL1075892
80	CHEMBL1075909
81	CHEMBL1075910
82	CHEMBL1075911
83	CHEMBL1075912
84	CHEMBL1075969
85	CHEMBL1075970
86	CHEMBL1075971
87	CHEMBL1075999
88	CHEMBL1076002
89	CHEMBL1076150
90	CHEMBL1076190
91	CHEMBL1076191
92	CHEMBL1076209
93	CHEMBL1076246
94	CHEMBL1076248
95	CHEMBL1076249
96	CHEMBL1076250
97	CHEMBL1076251
98	CHEMBL1076252
99	CHEMBL1076253
100	CHEMBL1076273
