SMILES	Molecule Name	Error/Warning	NP class probability
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4ccccc4O3)c2c1	1	None	0.72
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(Br)ccc4O3)c2c1	2	None	0.31
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(Cl)ccc4O3)c2c1	3	None	0.27
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(F)ccc4O3)c2c1	4	None	0.21
COc1ccc2c(c1)OC1(CC2=O)CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12	5	None	0.74
COc1cc(OC)c2c(c1)OC1(CC2=O)CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12	6	None	0.77
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4ccc(OC)c(OC)c4O3)c2c1	7	None	0.86
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4c(O)cccc4O3)c2c1	8	None	0.76
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4ccc(O)cc4O3)c2c1	9	None	0.76
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(C)ccc4O3)c2c1	10	None	0.74
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4c(ccc5ccccc45)O3)c2c1	11	None	0.72
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(NC(C)=O)ccc4O3)c2c1	12	None	0.49
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(F)cc(F)c4O3)c2c1	13	None	0.21
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(C)c(C)cc4O3)c2c1	14	None	0.74
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(C)cc(C)c4O3)c2c1	15	None	0.77
CCc1ccc2c(c1)C(=O)CC1(CN3CCC1CC3C(O)c1ccnc3ccc(OC)cc13)O2	16	None	0.66
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4ccc(OCc5ccccc5)cc4O3)c2c1	17	None	0.62
