Class	SMILES
Chromane_NPs	OC([C@H]1CC[C@]([C@]1([H])C2=O)([H])OC3=C2C=C(O)C=C3)=O
Chromane_NPs	O=C(C=C1)CC2=C1C=CC3=C2[C@@H](OC)[C@@H](OC(C(C)C)=O)C(C)(C)O3
Chromane_NPs	CC1(C)OC2=CC(CCCCC)=CC(O)=C2[C@H]3[C@H]1CCC(C)=C3
Chromane_NPs	COC(C=C1)=CC2=C1O[C@@H]3[C@H]2COC4=C(C/C=C(C)/C)C(OC)=CC=C43
Chromane_NPs	OC1=CC(OC[C@H](C2=CC=CC=C2)C3)=C3C=C1
Chromane_NPs	CC1=C(C(O)=O)C(O)=C2C(O[C@@](CC[C@]3([H])[C@]4(C)CCCC3(C)C)(C)[C@]4([H])C2)=C1
Chromane_NPs	OC1=CC(O[C@H](C2=CC=C(O)C(O)=C2)[C@@H](O)C3)=C3C(O)=C1
Chromane_NPs	OC1=C(O)C=C2C(O[C@](CC[C@]3([H])[C@]4(C)CCCC3(C)C)(C)[C@@H]4C2)=C1
Chromane_NPs	OC1=C(C)C2=C(O[C@](C)(CCC[C@@H](C)CCC[C@@H](C)CCCC(C)C)CC2)C(C)=C1C
Chromane_NPs	O=C1C2=C(O)C=CC=C2O[C@@H]3[C@@H]1OC(CC[C@@H]3C)=O
Chromane_NPs	C[C@H]1[C@H](CC([C@](C)(CC)C(OC)=O)=O)CO[C@]21OC3=C(C(O)=O)C(O)=CC4=C3[C@@H](O[C@H](CCCCC)C4)C2
Chromane_NPs	O[C@H]1[C@@H](CCCCCCC)[C@@]2(OCC3=C2C=CC=C3O)OC4=CC=CC(C(CCCCCCCC)=O)=C41
Chromane_NPs	OC1=C(C([H])=O)C(O)=C([C@@H](C2=CC=CC=C2)C3[C@@]([C@H]4C[C@H](C(C)4C)C3)(C)O5)C5=C1C([H])=O
Chromane_NPs	OC1=C(C(C2=CC=CC=C2)=O)C(O)=C(C([H])=O)C3=C1C[C@@](CCC([C@](CC4(C)C)([H])C4CC5)=C)([H])[C@]5(C)O3
Chromane_NPs	[H]C(C1=C(C([H])=O)C2=C3C(O[C@](CC/C=C(C)/C)(C)[C@@](CC[C@]4(C)O)([H])[C@]3([H])[C@@]4([H])O2)=C1)=O
Indole_NPs	[H][C@](N1CC2)(C[C@@](C(C(OC)=O)=CO[C@H]3C)([H])[C@]3([H])C1)C4=C2C5=C(N4)C=CC=C5
Indole_NPs	O[C@@](C1)(C(OC)=O)N2C3=C(C=CC=C3)C4=C2[C@@]([C@@]1(CC)CCC5)([H])N5CC4
Indole_NPs	CC1=CC2C(C(C)(C)C1)[C@](C3=CNC4=C3C=CC=C4)([H])C5=C2C(C=CC=C6)=C6N5
Indole_NPs	[H][C@@]12CC3=CNC4=C3C(C1=C[C@@H](C(N[C@]5(C(N6[C@H](C(N7CCC[C@]7([C@@]6(O5)O)[H])=O)CC8=CC=CC=C8)=O)C)=O)CN2C)=CC=C4
Indole_NPs	[H][C@@](CC[N@@](CCC1=C2NC3=C1C=CC=C3)C/4)(C2=C)C4=C/C
Indole_NPs	OC(C)(C)[C@H]1O[C@@]2([H])CC[C@]3(C)[C@]4(C)[C@@](CC5=C4NC6=C5C=CC=C6)([H])CCC3[C@]2(C)[C@H](O)C1
Indole_NPs	[H][C@@]1(N(C[C@@H](C=C12)C(O)=O)C)CC3=CNC4=C3C2=CC=C4
Indole_NPs	CCC(C12)=CC3CC1(C(OC)=O)C4=C(C5=C(N4)C=CC=C5)CCN2C3
Indole_NPs	CN(C1=C2C=CC=C1)C[C@@]2(C3=C(C(OC)=O)NC=C34)C5=C4C6=CC(Cl)=CC=C6N5
Indole_NPs	C/C=C1[C@H]2C[C@@](N(C/1)C([C@]2([H])CO)C3)([H])C4=C3C5=C(N4)C=CC=C5
Indole_NPs	O=C(C(CCC1)N1C2=O)N([C@H]2C3)[C@@H](/C=C(C)/C)C4=C3C(C=CC(OC)=C5)=C5N4
Indole_NPs	CC([C@@H]1N(C2=CC=C(C3=C2C(C[C@H](NC1=O)CO)=CN3)[C@@H](C4=CNC5=C4C=CC=C5)[C@H](CO)O)C)C
Indole_NPs	C/C(C)=C\CC1=CC2=C(NC(C(C)(C)C=C)=C2C[C@@H]3NC([C@H](C)NC3=O)=O)C(C/C=C(C)/C)=C1
Indole_NPs	CC[C@]1(O)C[C@@H]2C[C@@](C3=C(OC)C=C4C([C@]56CCN7[C@H]5[C@@]([C@@H](OC(C)=O)[C@@](C(OC)=O)(O)[C@@H]6N4C=O)(CC)C=CC7)=C3)(C(OC)=O)C8=C(C9=CC=CC=C9N8)CCN(C1)C2
Indole_NPs	[H][C@@]12N(C3=C([C@@]14CCN5CC=C[C@@]([C@H]([C@@]2(C(OC)=O)O)OC(C)=O)([C@@]45[H])CC)C=C([C@@]6(C(OC)=O)C[C@@H]7CN(CCC8=C6NC9=CC=CC=C89)C[C@](CC)(C7)O)C(OC)=C3)C
ChromSynComp	O=C(SC1CC2=CC=C(OCC3(CCC4=C(O3)C(C)=C(C)C(O)=C4C)C)C=C2)NC1=O
ChromSynComp	O=C(N1)NC([C@]21CCOC3=C2C=C(F)C=C3)=O
ChromSynComp	O=C1[C@@H](C[C@H]2C(OC(C=CC=C3)=C3C2=O)=O)C(C4=CC=CC=C4O1)=O
ChromSynComp	FC1=CC=C(OC(C(O)CNCC(O)C2OC(C=CC(F)=C3)=C3CC2)CC4)C4=C1
ChromSynComp	CC1=CC=C2C(CC[C@@H](CP(O)([H])=O)O2)=C1
ChromSynComp	COCC1=C2C([C@H](CC(F)(F)C3)[C@H]3[C@H](C4=CC=C(O)C=C4)O2)=CC(O)=C1
ChromSynComp	NC(O1)=C(C#N)[C@H](C2=CC(OC)=C(OC)C(Br)=C2)C3=C1C(N)=C(N)C=C3
ChromSynComp	[H][C@]1(C2CC2)C=CC3=C(CC4=CN=C(N)N=C4N)C=C(OC)C(OC)=C3O1
ChromSynComp	CN(C)C1=CC=C(C(C2=C(C(O)=O)C=CC=C2)=C(C=C3)C4=CC3N(C)C)C(O4)=C1
ChromSynComp	C[C@H]1[C@H](C2=CC=C(O)C=C2)[C@H](C3=CC=C(OCCN4CCCC4)C=C3)OC5=C1C=C(O)C=C5
ChromSynComp	OC(COC1=CC=CC2=C1C(C=C(C(O)=O)O2)=O)COC3=CC=CC4=C3C(C=C(C(O)=O)O4)=O
ChromSynComp	CCCC1=C2N(C(C(O)=O)=CC(C2=CC3=C1OC(C(O)=O)=CC3=O)=O)CC
ChromSynComp	CC(C1=CC2=C(OC3=NC(N)=C(C(O)=O)C=C3C2=O)C=C1)C
IndoleSynCompounds	OC1=CC2=C(NC=C2CCCCN3CCC(C4=CC=CC=C4)=CC3)C=C1
IndoleSynCompounds	COC1=C(OC)C=C2C(CCN3CCN(C4=CC=CC=C4)CC3)=C(C)NC2=C1
IndoleSynCompounds	CC(C)NC1=CC=CN=C1N2CCN(CC2)C(C3=CC4=C(C=CC(NS(=O)(C)=O)=C4)N3)=O
IndoleSynCompounds	CC(NCC(COC1=CC=CC2=C1C=CN2)O)C
IndoleSynCompounds	N[C@H](C(N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O)=O)CCC(O)=O
IndoleSynCompounds	CN1C2=C(C(C(CC2)CN3C=CN=C3C)=O)C4=CC=CC=C14
IndoleSynCompounds	CC(C1=CC2=C(C3=C(C=CC(Cl)=C3)N2)C=C1)C(O)=O
IndoleSynCompounds	O=C(N1CCN(C2=C(NCC)C=CC=N2)CC1)C(N3)=CC4=C3C=CC(OC)=C4
IndoleSynCompounds	CC1=C(CC(O)=O)C2=CC(OC)=CC=C2N1C(C3=CC=C(Cl)C=C3)=O
IndoleSynCompounds	O=C(C(C(CO)=C1/C=C/CO)=C2N1C)C(N3CC3)=CC2=O
IndoleSynCompounds	O=C(C1=C(CSC2=CC=CC=C2)N(C)C3=C1C(CN(C)C)=C(O)C(Br)=C3)OCC
IndoleSynCompounds	O=C(/C=C/C1=CC=C(CNCCC2=C(NC3=C2C=CC=C3)C)C=C1)NO
IndoleSynCompounds	[H][C@]12CC3=C([C@@H](C4=CC5=C(C=C4)OCO5)N1C(CN(C2=O)C)=O)NC6=CC=CC=C36
IndoleSynCompounds	O=C(OC1CCCC1)NC2=CC=C(NC=C3CC4=CC=C(C(NS(=O)(C5=CC=CC(C)=C5)=O)=O)C=C4OC)C3=C2
IndoleSynCompounds	CNS(=O)(CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C)=O
PNPs	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4ccccc4O3)c2c1
PNPs	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(Br)ccc4O3)c2c1
PNPs	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(Cl)ccc4O3)c2c1
PNPs	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(F)ccc4O3)c2c1
PNPs	COc1ccc2c(c1)O[C@]1(CC2=O)CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
PNPs	COc1cc(OC)c2c(c1)O[C@]1(CC2=O)CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
